,Time,Open,High,Close,Low,Volume
357, 15:31,57.35,57.37,57.355,57.345,4385
358, 15:32,57.37,57.38,57.35,57.35,4694
359, 15:33,57.355,57.38,57.375,57.35,7364
360, 15:34,57.375,57.375,57.355,57.345,7552
361, 15:35,57.34,57.34,57.325,57.315,4276
362, 15:36,57.33,57.33,57.29,57.29,4039
363, 15:37,57.27,57.27,57.246,57.24,1453
364, 15:38,57.25,57.28,57.245,57.24,4041
365, 15:39,57.24,57.26,57.24,57.23,5725
366, 15:40,57.25,57.295,57.286,57.25,2768
367, 15:41,57.29,57.3,57.27,57.27,4925
368, 15:42,57.28,57.32,57.26,57.26,6284
369, 15:43,57.27,57.29,57.27,57.27,2404
370, 15:44,57.26,57.28,57.28,57.26,946
371, 15:45,57.27,57.285,57.28,57.23,4385
372, 15:46,57.27,57.31,57.295,57.27,1579
373, 15:47,57.29,57.33,57.33,57.28,6550
374, 15:48,57.335,57.335,57.316,57.315,3096
375, 15:49,57.32,57.33,57.3,57.29,4314
376, 15:50,57.34,57.415,57.415,57.34,19308
377, 15:51,57.42,57.43,57.4,57.4,11168
378, 15:52,57.395,57.42,57.41,57.395,3649
379, 15:53,57.41,57.44,57.44,57.405,10005
380, 15:54,57.44,57.465,57.42,57.42,14435
381, 15:55,57.43,57.46,57.46,57.43,6363
382, 15:56,57.47,57.47,57.45,57.43,7924
383, 15:57,57.45,57.46,57.455,57.44,9184
384, 15:58,57.46,57.46,57.46,57.45,9512
385, 15:59,57.46,57.47,57.39,57.39,34850
